schema,dbms,criterion,datagenerator,randomseed,merges
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,7,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,8,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,9,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,10,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,11,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,12,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,13,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,14,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,15,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,16,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,17,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,18,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,19,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,20,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,21,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,22,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,23,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,24,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,25,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,26,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,27,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,28,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,29,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,30,91
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,1,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,2,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,3,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,4,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,5,4
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,6,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,7,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,8,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,9,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,10,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,11,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,12,4
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,13,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,14,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,15,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,16,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,17,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,18,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,19,7
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,20,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,21,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,22,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,23,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,24,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,25,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,26,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,27,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,28,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,29,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,30,6
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,1,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,2,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,3,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,4,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,5,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,6,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,7,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,8,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,9,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,10,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,11,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,12,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,13,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,14,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,15,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,16,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,17,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,18,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,19,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,20,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,21,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,22,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,23,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,24,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,25,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,26,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,27,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,28,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,29,5
ArtistSimilarity,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,30,5
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,1,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,2,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,3,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,4,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,5,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,6,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,7,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,8,13
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,9,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,10,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,11,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,12,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,13,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,14,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,15,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,16,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,17,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,18,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,19,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,20,15
